time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-14 00:00:00+00:00,2,2,127,10
2023-10-15 00:00:00+00:00,1,1,96,8
2023-10-16 00:00:00+00:00,2,2,331,9
2023-10-17 00:00:00+00:00,1,1,78,7
2023-10-18 00:00:00+00:00,2,2,42,5
2023-10-19 00:00:00+00:00,3,3,44,6
2023-10-20 00:00:00+00:00,2,2,47,10
2023-10-21 00:00:00+00:00,3,3,98,8
2023-10-22 00:00:00+00:00,3,3,41,8
2023-10-23 00:00:00+00:00,3,3,69,7
2023-10-24 00:00:00+00:00,2,2,128,6
2023-10-25 00:00:00+00:00,2,2,101,8
2023-10-26 00:00:00+00:00,2,2,155,9
2023-10-27 00:00:00+00:00,2,2,142,7
2023-10-28 00:00:00+00:00,2,2,91,11
2023-10-29 00:00:00+00:00,3,3,42,10
2023-10-30 00:00:00+00:00,3,3,61,14
2023-10-31 00:00:00+00:00,2,2,58,7
2023-11-01 00:00:00+00:00,1,1,60,12
2023-11-02 00:00:00+00:00,2,2,92,5
2023-11-03 00:00:00+00:00,3,3,29,3
2023-11-04 00:00:00+00:00,3,3,140,9
2023-11-05 00:00:00+00:00,3,3,167,17
2023-11-06 00:00:00+00:00,4,4,156,11
2023-11-07 00:00:00+00:00,1,1,18,7
2023-11-08 00:00:00+00:00,3,3,177,7
2023-11-09 00:00:00+00:00,1,1,83,6
2023-11-10 00:00:00+00:00,3,3,18,4
2023-11-11 00:00:00+00:00,2,2,164,21
2023-11-12 00:00:00+00:00,2,2,123,9
2023-11-13 00:00:00+00:00,3,3,125,5
2023-11-14 00:00:00+00:00,5,5,239,13
2023-11-15 00:00:00+00:00,4,4,258,12
2023-11-16 00:00:00+00:00,3,2,83,10
2023-11-17 00:00:00+00:00,2,2,63,10
2023-11-18 00:00:00+00:00,2,2,129,7
2023-11-19 00:00:00+00:00,1,1,7,3
2023-11-20 00:00:00+00:00,3,3,178,12
2023-11-21 00:00:00+00:00,2,2,54,9
2023-11-22 00:00:00+00:00,1,1,94,10
2023-11-23 00:00:00+00:00,1,1,45,10
2023-11-24 00:00:00+00:00,2,2,32,6
2023-11-25 00:00:00+00:00,3,3,233,14
2023-11-26 00:00:00+00:00,3,3,54,10
2023-11-27 00:00:00+00:00,4,4,58,8
2023-11-28 00:00:00+00:00,1,1,189,10
2023-11-29 00:00:00+00:00,2,2,96,10
2023-11-30 00:00:00+00:00,1,1,133,14
2023-12-01 00:00:00+00:00,1,1,8,3
2023-12-02 00:00:00+00:00,2,2,21,2
2023-12-03 00:00:00+00:00,1,1,92,7
2023-12-04 00:00:00+00:00,4,4,132,12
2023-12-05 00:00:00+00:00,4,4,72,13
2023-12-06 00:00:00+00:00,3,3,78,15
2023-12-07 00:00:00+00:00,3,3,71,11
2023-12-08 00:00:00+00:00,3,3,109,13
2023-12-09 00:00:00+00:00,2,2,26,5
2023-12-10 00:00:00+00:00,4,3,117,8
2023-12-11 00:00:00+00:00,3,3,149,11
2023-12-12 00:00:00+00:00,3,3,78,11
2023-12-13 00:00:00+00:00,3,3,98,13
2023-12-14 00:00:00+00:00,2,2,132,11
2023-12-15 00:00:00+00:00,3,3,13,4
2023-12-16 00:00:00+00:00,4,4,299,14
2023-12-17 00:00:00+00:00,4,4,72,8
2023-12-18 00:00:00+00:00,2,2,108,8
2023-12-19 00:00:00+00:00,2,2,142,9
2023-12-20 00:00:00+00:00,2,2,220,13
2023-12-21 00:00:00+00:00,1,1,15,3
2023-12-22 00:00:00+00:00,3,3,303,9
2023-12-23 00:00:00+00:00,7,7,124,14
2023-12-24 00:00:00+00:00,3,3,137,10
2023-12-25 00:00:00+00:00,3,3,98,6
2023-12-26 00:00:00+00:00,7,3,237,15
2023-12-27 00:00:00+00:00,3,3,69,13
2023-12-28 00:00:00+00:00,3,3,277,15
2023-12-29 00:00:00+00:00,6,5,191,14
2023-12-30 00:00:00+00:00,5,5,35,9
2023-12-31 00:00:00+00:00,4,3,31,6
2024-01-01 00:00:00+00:00,3,3,318,12
2024-01-02 00:00:00+00:00,2,2,258,15
2024-01-03 00:00:00+00:00,2,2,183,10
2024-01-04 00:00:00+00:00,2,2,104,3
2024-01-05 00:00:00+00:00,2,2,41,3
2024-01-06 00:00:00+00:00,2,2,79,8
2024-01-07 00:00:00+00:00,2,2,78,9
2024-01-08 00:00:00+00:00,3,3,40,7
2024-01-09 00:00:00+00:00,2,2,247,8
2024-01-10 00:00:00+00:00,3,3,67,9
2024-01-11 00:00:00+00:00,4,4,136,7
2024-01-12 00:00:00+00:00,4,4,53,8
2024-01-13 00:00:00+00:00,2,2,64,10
2024-01-14 00:00:00+00:00,3,3,120,8
2024-01-15 00:00:00+00:00,5,5,24,5
2024-01-16 00:00:00+00:00,2,2,93,5
2024-01-17 00:00:00+00:00,2,2,46,7
2024-01-18 00:00:00+00:00,2,2,165,9
2024-01-19 00:00:00+00:00,6,4,59,11
2024-01-20 00:00:00+00:00,5,5,130,10
2024-01-21 00:00:00+00:00,2,2,31,7
2024-01-22 00:00:00+00:00,7,5,83,9
2024-01-23 00:00:00+00:00,3,3,130,9
2024-01-24 00:00:00+00:00,2,2,115,9
2024-01-25 00:00:00+00:00,2,2,191,9
2024-01-26 00:00:00+00:00,2,2,201,9
2024-01-27 00:00:00+00:00,2,2,74,10
2024-01-28 00:00:00+00:00,3,3,22,6
2024-01-29 00:00:00+00:00,3,3,15,3
2024-01-30 00:00:00+00:00,2,2,37,4
2024-01-31 00:00:00+00:00,2,2,60,8
